"","cert","rbc1rwaj","rbcrwaj"
"1",35260,11.5074907913645,12.427528451793
"2",57899,10.1426819646575,11.1132235097292
"3",15448,12.7083114977466,13.9870034587569
"4",16522,11.7124272597129,12.9640245835749
"5",22039,11.4272753515609,12.2424292410684
"6",16419,16.5349278109961,17.5936998687473
"7",30367,11.7950814381307,12.3473259174789
"8",4788,18.6379018612521,19.8900169204738
"9",31826,11.8883324790032,12.7376680730255
"10",57298,12.1770350266065,13.2487765264035
"11",58485,29.1592392966764,30.4112565527862
"12",33025,6.89337550665211,8.17874123180731
"13",57657,24.1800351263456,25.4308859738317
"14",35456,12.3164536113821,13.295789993792
"15",58358,17.7333376409395,19.0030045552935
"16",11706,11.9747524878471,12.837545493879
"17",27552,14.389059317131,15.2955160896685
"18",58321,17.2074835664925,18.1533794033373
"19",34393,14.795912862399,15.8716457526354
"20",57611,18.7301512063327,19.9815139593307
"21",1149,9.08157498116051,10.3391107761869
"22",1673,15.5511753234499,17.2316467109816
"23",11338,13.1127070955151,14.3882542163344
"24",58548,40.9315599041941,41.5736635580696
"25",6646,16.2576319885071,17.1954188116046
"26",3564,13.0334465698456,13.7425047308543
"27",26977,12.2055353221208,13.2340303637926
"28",35517,8.78003379108466,11.0159918272725
"29",57157,13.1470291384305,14.4053689163859
"30",57633,13.5586158406646,14.8103139227541
"31",9087,11.6516448564183,12.9115118430907
"32",57626,10.134064441482,11.145207133335
"33",22543,20.5596444938203,21.4414664629913
"34",8426,11.6892232708798,12.8651647837422
"35",57869,13.1086142322097,14.0285669529058
"36",35408,8.41832808107648,10.415468368992
"37",31249,11.0204711562841,11.7789071026204
"38",9751,12.2416901408451,13.3287323943662
"39",91005,30.1903755607459,31.4536758981203
"40",27831,22.5780444828618,23.601183549985
"41",27207,11.256915246736,12.5248948882496
"42",32257,29.0872815595231,29.8774525266545
"43",30332,46.0859514552905,46.5272669959021
"44",30619,16.1106485336294,17.3651586640762
"45",19795,10.6911687085035,11.9412728838514
"46",26549,15.7145059943718,16.4295902239698
"47",27942,23.1053168395676,23.4993891197871
"48",32266,12.8472726583765,13.7697543066336
"49",19600,12.3551859545842,13.6152879349305
"50",4061,14.6726543523697,15.5425634073321
"51",58562,32.3336912614409,33.425371989569
"52",58727,43.5003515050809,44.2129481689781
"53",16476,9.26827735712715,10.5375600867134
"54",35189,10.5728212807253,11.8254909273763
"55",14936,9.98206128366117,11.0844579795999
"56",18489,9.04929353247911,10.3006761617034
"57",26568,14.4292319973491,16.2637627460726
"58",14311,10.8369188063845,11.8639833448994
"59",32304,33.4312046325748,34.573036457059
"60",7506,11.8630592430193,13.1166630528184
"61",58697,27.9886640322516,29.242006945276
"62",22658,9.30862140774677,10.5630590428591
"63",9812,28.0482831742925,28.7578500937933
"64",57962,20.026661197703,20.1420221493027
"65",28380,11.5194868335262,12.5642117640851
"66",8251,10.3226663125747,11.3610410304076
"67",8822,14.4465030106531,15.4608615099583
"68",31372,17.3802633910116,18.0436622768165
"69",18664,86.0147777380527,86.9145513049696
"70",33535,22.2843493868342,24.4782369883677
"71",57072,9.47604363711746,10.5187738073644
"72",29864,11.5236321970782,12.5928100830708
"73",18152,15.3041091189843,16.5565754482285
"74",10375,9.21396749815125,10.3881463845751
"75",57103,8.91828081777516,10.1389873907397
"76",31217,12.0590790616855,12.7489609505248
"77",28225,9.48232812050478,10.6470987288181
"78",34885,10.4947725910635,11.2824513170787
"79",27197,9.20237979808104,10.4538328541562
"80",57478,12.0801246187937,13.2648807564887
"81",35267,34.041762821573,34.5447791384351
"82",3304,9.8546900167929,11.0104869940711
"83",57840,12.283859800952,13.4954565123323
"84",35224,9.29943678274494,10.5515012068941
"85",35314,29.6101485148515,30.8871512151215
"86",13947,14.2613687326218,15.4823302538344
"87",57845,10.0642427870778,11.1957447788344
"88",29849,10.687956834081,11.6472691909527
"89",35029,18.2780973249338,19.4752579202045
"90",17230,16.7165236462799,17.6838218346883
"91",34106,9.07507640821623,10.3317567913672
"92",9831,23.7398072646405,24.9276359913869
"93",17622,12.3791421603787,13.6422321044327
"94",3931,10.2615621860543,11.8158424720994
"95",13080,23.9363446728678,25.0318145441665
"96",2773,10.8004721461912,12.0567548398825
"97",20093,13.2759517070071,13.7981630177344
