"","cert","numemp","asset","RWAJT","RBCT2"
"1",26979,8,13004,7992.6,82
"2",26606,18,37367,26020.9,208
"3",16419,34,46063,27740.41,347.51
"4",4788,7,14992,4127.27,52.57
"5",23406,139,687403,369383.13,4658.03
"6",33619,11,15374,10159.7,59
"7",27552,25,50944,25569.9,242
"8",1673,39,32236,18666.98,235.98
"9",28284,274,678037,430444,5411
"10",6646,28,54743,33619.2,235
"11",26977,19,26398,14713.5,176
"12",17316,40,142441,77846.8,805
"13",21170,34,43086,19959.23,249.63
"14",30187,13,38156,23941,0
"15",22419,159,274134,131625.9,1493
"16",20662,9,18697,10498.4,104
"17",19593,11,16969,12378.69,154.79
"18",9087,709,1350243,950120.74,18159.44
"19",14181,20,44653,20181.2,254.1
"20",22536,32,42367,23942.9,255
"21",22543,5,13004,6863.13,85.93
"22",27136,74,127624,94829.99,1189.79
"23",21442,30,99670,41257.04,1020.04
"24",8841,18,51538,32440.6,370
"25",27831,57,146481,87352,170
"26",32257,90,65523,51717,653
"27",30332,10,31986,10786,97
"28",30619,14,39934,20579,258
"29",19795,31,74227,53680.96,675.26
"30",22051,111,314841,169894,2060
"31",27942,54,199552,120930.5,910
"32",33504,33,86527,44887,0
"33",25002,29,62585,26788.8,233
"34",32266,41,187897,96937,813
"35",26668,17,26387,18208.01,234.11
"36",21109,43,54965,29209.34,368.24
"37",14936,17,36779,19743.41,248.61
"38",23064,9,9480,4596.49,57.49
"39",2730,8,13834,7155.42,89.82
"40",18489,75,136268,103057.73,1294.73
"41",26568,32,82056,47427,534
"42",14311,9,28002,21785,216
"43",32304,6,19643,8212,10
"44",7506,165,451048,225694.44,2828.54
"45",22658,38,68272,46895.05,778.05
"46",9812,5,15440,8694.2,84
"47",26202,16,24270,9099.02,115.62
"48",5682,20,44339,29751.68,374.68
"49",9531,10,25074,14792.6,132
"50",28380,47,82352,52117,650
"51",26973,27,31176,20482.26,259.66
"52",10922,9,11483,7097.92,89.02
"53",8251,14,33669,17948.7,207
"54",8822,11,21425,15087.28,189.08
"55",13435,73,124117,68597.6,857.7
"56",33104,139,381241,115112.5,585
"57",31372,28,34746,18767,176
"58",29472,28,66384,36872,116
"59",33549,8,7311,8588,0
"60",90309,49,105629,78762.13,999.73
"61",28923,180,585671,269784,3384
"62",25332,57,397861,263529.33,3325.83
"63",13693,68,172853,86119.98,1098.98
"64",91005,9,129604,98814.39,1240.39
"65",27318,24,45301,34605.03,436.03
"66",19600,38,63335,25085.97,316.27
"67",15696,32,44314,26772.87,335.47
"68",19158,81,224625,143342.4,1580
"69",10361,66,77583,47820.29,598.79
"70",29087,27,123904,59836,424
"71",29849,51,110342,50898,643
"72",17230,108,238965,147592.1,1516
"73",32106,821,2428028,1373460,11385
"74",230,10,17586,11867.99,148.99
"75",29349,14,41290,19630,135
"76",6747,51,98501,54956.01,690.91
"77",16321,9,17452,11780.84,147.74
"78",9831,42,107262,46710.3,567
"79",17622,21,40330,22284.17,279.67
"80",892,130,347993,213359.85,2693.15
"81",4061,8,13179,8090.05,101.75
"82",29561,11,43180,12032,152
"83",13080,35,107974,49710.82,622.22
"84",10326,64,138390,51640.08,647.68
"85",23032,26,34966,18367.14,229.74
"86",20153,31,71672,52113.5,599
"87",32575,41,25798,11542,145
"88",6058,72,189530,80031.1,808
"89",26984,47,103027,55248.68,700.28
"90",1078,25,32283,21332.9,253
"91",11010,13,36318,23271.67,290.97
"92",8583,26,46080,14447.04,182.14
"93",15062,23,37524,22910.6,265
"94",23124,18,48193,36954.64,463.64
"95",33468,17,23610,17499.9,202
"96",5373,22,50671,14839.31,185.51
"97",163,136,249553,135224.77,1698.87
"98",3640,22,48172,20861.3,250
"99",33684,NA,215238,NA,0
"100",32474,148,182607,95490,1194
"101",10623,12,21236,11353.37,142.77
"102",15699,23,37469,24266.07,303.87
"103",33562,4,4498,3059,0
"104",24473,9,15558,10194.07,127.67
"105",23091,32,49027,35913.56,448.96
"106",18545,75,130203,78840.41,986.41
"107",27532,18,47852,30710.2,364
"108",22306,16,28322,18475.87,231.17
"109",20937,15,29442,19480.8,236
"110",33210,8,11157,7424.6,76
"111",21687,16,36893,23235.88,290.88
"112",23403,30,68232,34641.7,412
"113",19590,29,50309,26802.81,335.71
"114",8276,13,27011,12527,83
"115",14498,8,18407,9736.3,116
"116",27711,31,80634,35736,350
"117",18272,20,36001,16593.89,208.09
"118",10173,12,27957,16973,150
"119",33413,302,698811,341933,0
"120",9465,31,135934,81003.2,679
"121",19950,15,18604,9536.93,120.33
"122",11892,50,93628,51399.68,643.28
"123",32136,28,53122,38568,0
"124",903,190,463289,212110.6,1886
"125",622,462,1837499,481091.6,5715
"126",14531,350,716275,479436.97,5996.27
"127",33197,19,69407,46191.9,405
"128",28701,30,119480,62102,381
"129",6423,162,872673,494389.87,6288.97
"130",14341,91,149621,111948.38,1399.88
"131",3735,345,879810,682395.3,7496
"132",9266,78,171459,107097.2,1270
"133",11321,21,44875,24610.89,307.79
"134",27267,26,64202,49399.1,371
"135",29031,93,268516,122877,555
"136",31335,453,1155037,753878,9499
"137",20289,71,149619,85945.65,1077.75
"138",21824,34,56002,31228.52,391.82
"139",29289,93,260859,158986,549
"140",21490,9,15165,6699.65,84.75
"141",6782,51,75939,29886.85,378.75
"142",26213,23,49899,39368.24,494.34
"143",20726,33,56380,39492.42,520.22
"144",21946,21,37051,19525.59,244.49
"145",19345,65,89670,47863.61,605.91
"146",22968,88,158250,65154.97,833.37
"147",21614,26,36894,18521.4,155
"148",20311,81,138112,91954.01,1152.91
"149",19594,43,50430,31824.92,401.32
"150",19234,19,29133,16759.13,211.63
"151",17906,45,53382,27187.76,342.76
"152",19281,74,74421,32670.29,411.89
"153",26904,15,32699,23588.61,295.81
"154",20156,49,91493,52950.2,537
"155",20537,81,145238,100600.59,1261.39
"156",21560,19,37396,28481.02,366.52
"157",10570,66,143337,93176.83,1165.83
"158",21919,71,88942,55500.87,725.97
"159",1393,60,116682,95909.7,910
"160",4624,19,45941,22020.02,275.32
"161",27501,27,54997,38806.2,285
"162",20663,25,52905,36497.05,456.75
"163",22440,59,65509,52478.7,536
"164",19712,22,36990,21132.15,266.35
"165",22989,85,177983,105532.9,514
"166",18609,82,138482,72680.9,592
