"","cert","numemp","asset","RWAJT","RBCT2"
"1",57899,14,72323,61865,779
"2",22039,24,142070,75385,737
"3",16419,44,119592,67408,853
"4",30367,38,240455,153671,1208
"5",57298,52,191304,132940,1504
"6",3881,94,289939,210708,2659
"7",32487,13,53229,26453,331
"8",58485,59,369528,255940,3223
"9",57657,60,489304,367973,4627
"10",35456,45,302323,185780,2339
"11",11706,17,67083,47079,467
"12",27552,157,805370,501226,6269
"13",58321,77,716111,566318,6070
"14",34393,11,117381,79212,997
"15",57611,5,52761,33903,410
"16",1673,413,618237,421096,6040
"17",58548,22,97817,69354,870
"18",6646,62,118959,82258,1046
"19",3564,90,301150,192956,2132
"20",26977,55,145609,77968,977
"21",57633,154,378850,316663,3977
"22",9087,1121,4627064,3714293,47626
"23",57626,43,181794,152862,1915
"24",22543,5,30187,14275,130
"25",8426,163,819516,452382,6357
"26",57869,33,144995,106675,879
"27",35408,284,1538886,893389,10063
"28",31249,39,141458,102023,1124
"29",9751,47,371840,259508,1873
"30",29132,166,717682,438911,5504
"31",91005,29,168857,109903,1132
"32",27831,44,216048,103116,1291
"33",35029,43,129764,97176,1221
"34",32257,113,257561,151901,1797
"35",30332,22,53775,40711,509
"36",30619,15,69287,35161,441
"37",19795,74,334641,222787,2799
"38",11694,90,332786,255623,3225
"39",26549,25,114178,72215,851
"40",32266,63,631466,300314,3776
"41",19600,303,297343,129694,1676
"42",4061,17,80386,59843,752
"43",58727,38,186390,149940,1877
"44",35189,258,840878,731780,9202
"45",58562,25,129836,82998,1042
"46",14936,45,143943,126289,1256
"47",7506,255,1024520,668262,8468
"48",18489,154,575261,493797,6173
"49",90140,89,386454,248769,2573
"50",14311,16,164364,98784,847
"51",32304,6,26040,12181,151
"52",58697,14,69919,41127,519
"53",9812,8,45493,30788,194
"54",28380,159,608629,309518,3532
"55",27015,224,628782,466297,3446
"56",8251,28,125886,89536,1088
"57",8822,9,40271,24658,223
"58",31372,21,57255,35187,443
"59",18152,28,57107,36521,419
"60",57072,48,264774,189517,2381
"61",29864,209,755914,559197,7034
"62",10375,30,129006,98192,1231
"63",34885,305,417033,313005,3918
"64",57264,26,273354,224396,2817
"65",35267,29,878394,182101,156
"66",3304,102,422429,325512,4073
"67",35314,9,36167,30658,311
"68",13947,35,187004,100921,1264
"69",57845,95,286293,198050,2501
"70",29849,64,176294,139614,1748
"71",17230,92,536189,320210,4022
"72",34106,39,120836,82691,1046
"73",9831,58,250963,145802,1620
"74",17622,42,163586,120370,1512
"75",3931,547,1290503,1031695,13434
"76",13080,31,144365,57234,717
"77",20093,46,129456,96241,1064
"78",6058,105,406152,250077,3204
"79",58629,129,826548,622709,6635
"80",15062,20,59422,31330,394
"81",11569,171,580105,313448,3951
"82",10973,158,579385,492209,6236
"83",12511,44,154117,95140,1196
"84",197,71,303699,186300,2350
"85",34566,44,148549,151724,1897
"86",34930,22,87594,51429,647
"87",57733,41,175544,124218,1576
"88",15657,57,189662,106384,1355
"89",57424,15,59718,44094,546
"90",35173,31,157857,104952,1317
"91",1946,49,116821,96727,1214
"92",91,57,149132,103083,1317
"93",55130,33,125441,82567,1057
"94",4051,9,46387,20565,258
"95",57803,781,92432140,83442247,685987
"96",58424,130,928351,731792,9187
"97",15699,26,86711,55484,704
"98",15426,13,29286,25228,247
"99",59060,111,742574,392902,5151
"100",23091,502,2258629,1734635,21822
"101",18545,346,1129244,706453,8900
"102",35377,16,211744,148522,1908
"103",19590,57,159131,109706,1363
"104",58275,38,225484,198582,1700
"105",1149,39,190587,160685,1762
"106",8276,17,56733,34097,421
"107",27711,46,210288,126187,901
"108",10173,9,48507,29050,240
"109",9465,39,222400,153203,1923
"110",622,426,3614380,2415073,30300
"111",903,184,823647,429770,5424
"112",14531,662,3511052,2924593,34955
"113",34302,35,124051,60288,740
"114",28701,51,320953,163283,2025
"115",6423,267,2175468,1995072,25386
"116",24107,1646,12971503,11004124,138223
"117",27267,54,377718,283467,2291
"118",29031,148,441847,312091,3916
"119",20726,20,127615,93199,1178
"120",8893,10,28853,18935,240
"121",19838,55,245688,152082,1933
"122",20311,66,308217,254596,18149
"123",34422,50,511666,388516,4610
"124",32328,252,464664,173047,2170
"125",1117,94,394666,306892,3844
"126",19234,46,108419,69532,793
"127",17906,45,158352,85073,1064
"128",35568,62,256267,186460,2342
"129",31980,35,151246,106739,1336
"130",6183,34,138527,99430,1244
"131",20537,40,196364,115975,684
"132",34955,173,370042,233747,2957
"133",22559,290,975009,633570,6495
"134",4624,30,103853,58773,767
"135",18609,163,680149,476504,5965
"136",34232,24,58049,38439,492
"137",15423,41,123802,81484,1037
"138",34606,56,155322,134455,807
"139",20843,164,324189,192581,2536
"140",20473,467,2022824,1422884,17852
"141",5216,177,541956,413014,5282
"142",5800,38,259619,223487,2800
"143",21567,14,46731,21982,226
"144",23886,84,368200,236921,2973
"145",20241,249,1182023,754473,9465
"146",34788,105,1300123,643169,8078
"147",27006,323,2400435,1813054,38309
"148",21663,75,244063,186834,2278
"149",35033,34,167753,131534,1671
